min_price,max_price,cats,dogs,pet_policy_text,min_beds,max_beds,min_baths,max_baths,house_type,year_built,address,postal_code,state,city,pictures,pictures1,lat,lon,county,db
590.0,1660.0,True,True,,0,4,1.0,4.0,apartment,2008.0,2300 Nueces St,78705,TX,Austin,https://ar.rdcpix.com/ff31829822d1b188466f427fa7214600c-f3720927797s.jpg,https://ar.rdcpix.com/ff31829822d1b188466f427fa7214600c-f4000677537s.jpg,30.286797,-97.743912,Travis,39 - 2300 Nueces St
1295.0,1856.0,True,True,,1,2,1.0,2.0,apartment,1985.0,2300 Central Park Blvd,76022,TX,Bedford,https://ar.rdcpix.com/3e1c798bf9ac7ff24211a5b6d42fac80c-f2814760359s.jpg,https://ar.rdcpix.com/3e1c798bf9ac7ff24211a5b6d42fac80c-f2650780506s.jpg,32.832837,-97.130785,Tarrant,40 - 2300 Central Park Blvd
1105.0,2120.0,True,True,,1,2,1.0,2.0,apartment,2016.0,15255 Vintage Preserve Pkwy,77070,TX,Houston,https://ar.rdcpix.com/dded97d6ad02513c8979cb1a9cd0712ac-f2493100566s.jpg,https://ar.rdcpix.com/dded97d6ad02513c8979cb1a9cd0712ac-f900020412s.jpg,29.99706,-95.55745,Harris,41 - 15255 Vintage Preserve Pkwy
1550.0,2825.0,True,True,Pet rent is per pet. Contact for details.,1,2,1.0,2.0,apartment,2021.0,12100 Archeleta Blvd,78739,TX,Austin,https://ar.rdcpix.com/3903280176ebcf850ae1a85287790f73c-f382993388s.jpg,https://ar.rdcpix.com/3903280176ebcf850ae1a85287790f73c-f3007014442s.jpg,30.171486,-97.891865,Travis,42 - 12100 Archeleta Blvd
1739.0,2399.0,True,True,,2,3,2.0,2.0,apartment,2017.0,2001 Woodbend Dr,78412,TX,Corpus Christi,https://ar.rdcpix.com/214119ae4a59f9fd204fb232d28effc6c-f905509377s.jpg,https://ar.rdcpix.com/214119ae4a59f9fd204fb232d28effc6c-f607993417s.jpg,27.692433,-97.359506,Nueces,43 - 2001 Woodbend Dr
2545.0,12555.0,True,True,,0,3,1.0,3.5,apartment,2021.0,700 E 11th St,78701,TX,Austin,https://ar.rdcpix.com/76448d71b46d3ca9973295401e07160ac-f1564308254s.jpg,https://ar.rdcpix.com/76448d71b46d3ca9973295401e07160ac-f3424705968s.jpg,30.27112,-97.733792,Travis,44 - 700 E 11th St
1389.0,1980.0,True,True,,2,4,1.5,2.0,apartment,1971.0,4000 W 34th St,77092,TX,Houston,https://ar.rdcpix.com/1c0f5cc6d492bea949c856a7c47f5836c-f297281790s.jpg,https://ar.rdcpix.com/1c0f5cc6d492bea949c856a7c47f5836c-f987637112s.jpg,29.81782,-95.44982,Harris,45 - 4000 W 34th St
1515.0,2015.0,True,True,,1,2,1.0,2.0,apartment,1991.0,3000 Bissonnet St,77005,TX,Houston,https://ar.rdcpix.com/c89ede0fb8915392e1ace86b557ed027c-f3684825162s.jpg,https://ar.rdcpix.com/c89ede0fb8915392e1ace86b557ed027c-f3295512615s.jpg,29.72565,-95.42594,Harris,46 - 3000 Bissonnet St
1311.0,2665.0,True,True,,1,3,1.0,2.0,apartment,1998.0,16505 LA Cantera Pkwy,78256,TX,San Antonio,https://ar.rdcpix.com/5320141cdf9d42fee3040e18d9577e06c-f240115751s.jpg,https://ar.rdcpix.com/5320141cdf9d42fee3040e18d9577e06c-f239665817s.jpg,29.60032,-98.61688,Bexar,47 - 16505 LA Cantera Pkwy
1270.0,1925.0,True,True,We allow 2 pets per apartment. No Aggressive breeds. $200 Deposit / $200 Pet fee per pet plus $15/month Pet Rent.,0,2,1.0,2.0,apartment,2003.0,5720 Forest Park Rd,75235,TX,Dallas,https://ar.rdcpix.com/4b317f3edab113055adfea88ca935039c-f3332951111s.jpg,https://ar.rdcpix.com/4b317f3edab113055adfea88ca935039c-f3302726713s.jpg,32.820085,-96.839904,Dallas,48 - 5720 Forest Park Rd
1199.0,1619.0,True,True,,1,2,1.0,2.0,apartment,2014.0,2921 Airline Rd,78414,TX,Corpus Christi,https://ar.rdcpix.com/92ecd1841fd8745567f8eb39205d223bc-f879971188s.jpg,https://ar.rdcpix.com/92ecd1841fd8745567f8eb39205d223bc-f1503941856s.jpg,27.67463,-97.36557,Nueces,49 - 2921 Airline Rd
1268.0,2518.0,True,True,$100 Pet Fee for 2nd Pet. Cats and Dogs Allowed. No Size or Weight Limit. Breed Restrictions Apply.,0,3,1.0,2.0,apartment,2021.0,3200 Peek Rd,77449,TX,Katy,https://ar.rdcpix.com/214fb9dcd9b306d6e58ba38e2bc215afc-f1034096012s.jpg,https://ar.rdcpix.com/214fb9dcd9b306d6e58ba38e2bc215afc-f2219448226s.jpg,29.846238,-95.773463,Harris,50 - 3200 Peek Rd
1050.0,1500.0,True,True,"We gladly accept pets (cats and dogs) under 50 pounds, that are at least one (1) year of age. There is a two pet limit per apartment. The deposit is $200 (per pet) and the non-refundable pet fee is $200 (per apartment). A signed TAA Animal",1,2,1.0,2.0,apartment,1984.0,3200 S 1st St,78704,TX,Austin,https://ar.rdcpix.com/0d5ac6f30b95562f4a0b5bf48a9d8674c-f1562790848s.jpg,https://ar.rdcpix.com/0d5ac6f30b95562f4a0b5bf48a9d8674c-f967061448s.jpg,30.23366,-97.76589,Travis,51 - 3200 S 1st St
1520.0,2700.0,True,True,Limit 1 indoor pets per apartment. No exotic animals. Non-refundable pet fee of $350 for the first animal plus $350 for each additional animal.,0,3,1.0,2.0,apartment,2020.0,1900 Knightsbridge Rd,75234,TX,Farmers Branch,https://ar.rdcpix.com/8d21d3f600225f2f1c5d0a0ae3e760c6c-f1817241690s.jpg,https://ar.rdcpix.com/8d21d3f600225f2f1c5d0a0ae3e760c6c-f455895885s.jpg,,,Dallas,52 - 1900 Knightsbridge Rd
